Name	Tm	Elig Pos	RBI	HR	AVG	SB	AB	H	R	BB	SO	OBP	SLG	OPS
Cunningham, Todd	Atl(NRI)	UT,OF	0	0	.000	0	0	0	0	0	0	.000	.000	.000
D'Arnaud, Chase	Pit	UT,MI,2B	1	0	.000	1	6	0	2	0	2	.000	.000	.000
D'Arnaud, Travis	NYM	C,UT	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Darnell, James	SD	UT,OF	1	1	.235	0	17	4	1	2	2	.316	.471	.786
Davis, Ike	NYM	1B,CM,UT	90	32	.227	0	519	118	66	61	141	.308	.462	.771
Davis, Khris	Mil	UT,OF	0	0	.000	0	0	0	0	0	0	.000	.000	.000
DeJesus, Ivan	Pit(NRI)	UT,MI,2B	4	0	.220	1	41	9	5	3	13	.267	.293	.559
De La Rosa, Anderson	Mil(NRI)	C,UT	0	0	.000	0	0	0	0	0	0	.000	.000	.000
DeWitt, Blake	Atl(NRI)	UT,MI,2B	1	0	.138	0	29	4	1	0	2	.133	.172	.306
Den Dekker, Matt	NYM(NRI)	UT,OF	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Descalso, Daniel	StL	CM,UT,MI,2B,SS,3B	26	4	.227	6	374	85	41	37	83	.303	.324	.627
Desmond, Ian	Was	UT,MI,SS	73	25	.292	21	513	150	72	30	113	.335	.511	.845
Dickerson, Corey	Col(NRI)	UT,OF	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Donald, Jason	Cin	CM,UT,3B	11	2	.202	4	124	25	18	5	40	.246	.282	.529
Downs, Matt	Mia(NRI)	1B,CM,UT	16	8	.202	2	178	36	15	8	38	.253	.371	.623
Duvall, Adam	SF(NRI)	CM,UT,3B	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Espinosa, Danny	Was	UT,MI,2B,SS	56	17	.247	20	594	147	82	46	189	.315	.402	.717
Federowicz, Tim	LAD	C,UT	0	0	.333	0	3	1	0	1	2	.500	.333	.833
Fields, Josh	Phi(NRI)	CM,UT,3B	0	0	.000	0	0	0	0	0	0	.000	.000	.000
